head_idx,original_accuracy,perturbed_accuracy,performance_drop,contribution_score,rank
22,0.6,0.4,0.19999999999999996,0.19999999999999996,1
4,0.6,0.48,0.12,0.12,2
5,0.6,0.48,0.12,0.12,3
19,0.6,0.48,0.12,0.12,4
20,0.6,0.48,0.12,0.12,5
3,0.6,0.52,0.07999999999999996,0.07999999999999996,6
7,0.6,0.52,0.07999999999999996,0.07999999999999996,7
11,0.6,0.52,0.07999999999999996,0.07999999999999996,8
21,0.6,0.52,0.07999999999999996,0.07999999999999996,9
23,0.6,0.52,0.07999999999999996,0.07999999999999996,10
29,0.6,0.52,0.07999999999999996,0.07999999999999996,11
0,0.6,0.56,0.039999999999999925,0.039999999999999925,12
1,0.6,0.56,0.039999999999999925,0.039999999999999925,13
6,0.6,0.56,0.039999999999999925,0.039999999999999925,14
10,0.6,0.56,0.039999999999999925,0.039999999999999925,15
13,0.6,0.56,0.039999999999999925,0.039999999999999925,16
15,0.6,0.56,0.039999999999999925,0.039999999999999925,17
16,0.6,0.56,0.039999999999999925,0.039999999999999925,18
24,0.6,0.56,0.039999999999999925,0.039999999999999925,19
27,0.6,0.56,0.039999999999999925,0.039999999999999925,20
28,0.6,0.56,0.039999999999999925,0.039999999999999925,21
30,0.6,0.56,0.039999999999999925,0.039999999999999925,22
9,0.6,0.6,0.0,0.0,23
12,0.6,0.6,0.0,0.0,24
14,0.6,0.6,0.0,0.0,25
31,0.6,0.6,0.0,0.0,26
2,0.6,0.64,-0.040000000000000036,-0.040000000000000036,27
8,0.6,0.64,-0.040000000000000036,-0.040000000000000036,28
18,0.6,0.64,-0.040000000000000036,-0.040000000000000036,29
25,0.6,0.64,-0.040000000000000036,-0.040000000000000036,30
26,0.6,0.64,-0.040000000000000036,-0.040000000000000036,31
17,0.6,0.72,-0.12,-0.12,32
